Player	AVG	draftkings	fanduel	caesars	bet365	kambi	mgm	fantasypros	yahoo
Christian Mccaffrey	4.2	-	-	-	-	-	-	4.2	4.3
Austin Ekeler	4.1	-	-	-	-	-	-	3.9	4.3
Jerick Mckinnon	3.4	-	-	-	-	-	-	3.1	3.7
Jahmyr Gibbs	2.6	-	-	-	-	-	-	2.0	3.3
Aaron Jones	2.4	-	-	-	-	-	-	2.7	2.1
Tony Pollard	2.2	-	-	-	-	-	-	2.2	2.1
Dandre Swift	2.1	-	-	-	-	-	-	1.8	2.4
Antonio Gibson	2.1	-	-	-	-	-	-	1.4	2.8
Saquon Barkley	2.0	-	-	-	-	-	-	1.7	2.3
Alvin Kamara	2.0	-	-	-	-	-	-	1.8	2.2
Najee Harris	1.7	-	-	-	-	-	-	2.2	1.1
Bijan Robinson	1.6	-	-	-	-	-	-	2.1	1.1
Jonathan Taylor	1.6	-	-	-	-	-	-	1.0	2.2
Joe Mixon	1.6	-	-	-	-	-	-	2.2	1
Breece Hall	1.6	-	-	-	-	-	-	1.8	1.3
Rachaad White	1.5	-	-	-	-	-	-	1.9	1.1
Alexander Mattison	1.4	-	-	-	-	-	-	1.6	1.2
Javonte Williams	1.4	-	-	-	-	-	-	1.5	1.2
Samaje Perine	1.3	-	-	-	-	-	-	1.5	1.1
Rhamondre Stevenson	1.2	-	-	-	-	-	-	1.3	1.1
Jk Dobbins	1.2	-	-	-	-	-	-	1.6	0.8
James Cook	1.2	-	-	-	-	-	-	1.7	0.8
Nick Chubb	1.1	-	-	-	-	-	-	1.1	1
Travis Etienne	1.1	-	-	-	-	-	-	0.9	1.4
James Conner	1.1	-	-	-	-	-	-	1.3	1
Dameon Pierce	1.1	-	-	-	-	-	-	1.1	1
David Montgomery	1.1	-	-	-	-	-	-	1.2	1.1
Khalil Herbert	1.1	-	-	-	-	-	-	0.8	1.4
Dalvin Cook	1.1	-	-	-	-	-	-	1.0	1.3
Jeff Wilson	1.1	-	-	-	-	-	-	1.1	1.1
Devon Achane	1.1	-	-	-	-	-	-	0.9	1.2
Clyde Edwards Helaire	1.1	-	-	-	-	-	-	0.9	1.4
Michael Carter	1.1	-	-	-	-	-	-	0.3	1.8
Zander Horvath	1.1	-	-	-	-	-	-	1.1	-
Josh Jacobs	1.0	-	-	-	-	-	-	0.8	1.1
Miles Sanders	1.0	-	-	-	-	-	-	0.8	1.1
Raheem Mostert	1.0	-	-	-	-	-	-	0.9	1.1
Chase Edmonds	1.0	-	-	-	-	-	-	0.8	1.1
Cordarrelle Patterson	1.0	-	-	-	-	-	-	0.8	1.2
Kyren Williams	1.0	-	-	-	-	-	-	0.4	1.6
Derrick Henry	0.9	-	-	-	-	-	-	0.8	1
Aj Dillon	0.9	-	-	-	-	-	-	0.7	1.1
Brian Robinson	0.9	-	-	-	-	-	-	0.7	1.1
Zach Charbonnet	0.9	-	-	-	-	-	-	0.8	1
Tank Bigsby	0.9	-	-	-	-	-	-	0.7	1.2
Chase Brown	0.9	-	-	-	-	-	-	0.6	1.1
Kenneth Walker	0.8	-	-	-	-	-	-	0.6	1
Cam Akers	0.8	-	-	-	-	-	-	0.7	1
Isiah Pacheco	0.8	-	-	-	-	-	-	0.7	0.9
Jamaal Williams	0.8	-	-	-	-	-	-	0.5	1.1
Kenneth Gainwell	0.8	-	-	-	-	-	-	0.7	1
Jerome Ford	0.8	-	-	-	-	-	-	0.5	1
Deuce Vaughn	0.8	-	-	-	-	-	-	0.5	1
Rashaad Penny	0.7	-	-	-	-	-	-	0.2	1.1
Tyler Allgeier	0.7	-	-	-	-	-	-	0.3	1.1
Chuba Hubbard	0.7	-	-	-	-	-	-	0.5	0.9
Devin Singletary	0.7	-	-	-	-	-	-	0.4	0.9
Jaylen Warren	0.7	-	-	-	-	-	-	0.4	0.9
Kendre Miller	0.7	-	-	-	-	-	-	0.5	0.9
Ezekiel Elliott	0.6	-	-	-	-	-	-	0.5	0.7
Damien Harris	0.6	-	-	-	-	-	-	0.4	0.7
Roschon Johnson	0.6	-	-	-	-	-	-	0.6	0.7
Tyjae Spears	0.6	-	-	-	-	-	-	0.6	0.7
Keaontay Ingram	0.6	-	-	-	-	-	-	0.3	0.8
Zach Evans	0.6	-	-	-	-	-	-	0.4	0.7
Abram Smith	0.6	-	-	-	-	-	-	0.6	-
Ameer Abdullah	0.6	-	-	-	-	-	-	0.6	-
