Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Sam Laporta	7.5	7.5	7.5	7.5	7.5	7.5	-	7.7	-
Travis Kelce	6.9	6.5	6.5	7.5	7.5	6.5	6.5	7.5	-
Mark Andrews	6.7	6.5	6.5	6.5	6.5	6.5	-	7.9	-
George Kittle	5.6	5.5	5.5	5.5	5.5	-	-	6.0	-
Jake Ferguson	5.2	5.5	5.5	4.5	5.5	4.5	-	5.9	-
Dalton Kincaid	5.1	5.5	5.5	4.5	5.5	4.5	-	5.4	-
David Njoku	4.8	5.5	4.5	4.5	4.5	-	4.5	5.4	-
Trey Mcbride	4.7	-	4.5	-	-	4.5	-	5.1	-
Kyle Pitts	4.6	4.5	4.5	4.5	4.5	4.5	-	5.2	-
Brock Bowers	4.5	4.5	-	4.5	4.5	4.5	4.5	4.6	-
Hunter Henry	4.3	-	-	4.5	-	-	-	4.2	-
Juwan Johnson	4.1	-	-	-	-	-	-	4.1	-
Cole Kmet	3.9	-	-	3.5	-	-	-	4.3	-
Evan Engram	3.8	-	-	3.5	-	3.5	-	4.4	-
Dalton Schultz	3.8	3.5	3.5	3.5	-	3.5	-	4.9	-
Pat Freiermuth	3.8	3.5	-	3.5	-	-	-	4.4	-
Cade Otton	3.7	-	-	-	-	-	-	3.7	-
Isaiah Likely	3.7	-	-	-	-	-	-	3.7	-
Dallas Goedert	3.6	-	3.5	3.5	-	3.5	-	4.1	-
Tyler Conklin	3.4	-	-	-	-	-	-	3.4	-
Luke Musgrave	3.4	-	-	-	-	-	-	3.4	-
Tj Hockenson	3.3	-	-	-	-	-	-	3.3	-
Dawson Knox	3.3	-	-	-	-	-	-	3.3	-
Mike Gesicki	3.1	-	-	-	-	-	-	3.1	-
Hayden Hurst	2.9	-	-	-	-	-	-	2.9	-
Noah Fant	2.8	-	-	-	-	-	-	2.8	-
Jonnu Smith	2.8	-	-	-	-	-	-	2.8	-
Chigoziem Okonkwo	2.7	-	-	-	-	-	-	2.7	-
Ben Sinnott	2.6	-	-	-	-	-	-	2.6	-
Tucker Kraft	2.6	-	-	-	-	-	-	2.6	-
Zach Ertz	2.5	-	-	-	-	-	-	2.5	-
Colby Parkinson	2.5	-	-	-	-	-	-	2.5	-
Tommy Tremble	2.5	-	-	-	-	-	-	2.5	-
Jatavion Sanders	2.3	-	-	-	-	-	-	2.3	-
Gerald Everett	2.2	-	-	-	-	-	-	2.2	-
Tyler Higbee	2.1	-	-	-	-	-	-	2.1	-
Daniel Bellinger	2.1	-	-	-	-	-	-	2.1	-
Donald Parham	2.1	-	-	-	-	-	-	2.1	-
Michael Mayer	2.0	-	-	-	-	-	-	2.0	-
Jaheim Bell	2.0	-	-	-	-	-	-	2.0	-
Greg Dulcich	1.9	-	-	-	-	-	-	1.9	-
Brevin Jordan	1.9	-	-	-	-	-	-	1.9	-
Theo Johnson	1.8	-	-	-	-	-	-	1.8	-
Jelani Woods	1.8	-	-	-	-	-	-	1.8	-
Mo Alie Cox	1.8	-	-	-	-	-	-	1.8	-
Noah Gray	1.7	-	-	-	-	-	-	1.7	-
Kylen Granson	1.5	-	-	-	-	-	-	1.5	-
Will Dissly	1.5	-	-	-	-	-	-	1.5	-
Tanner Hudson	1.5	-	-	-	-	-	-	1.5	-
Adam Trautman	1.5	-	-	-	-	-	-	1.5	-
Brock Wright	1.5	-	-	-	-	-	-	1.5	-
Robert Tonyan	1.4	-	-	-	-	-	-	1.4	-
Durham Smythe	1.3	-	-	-	-	-	-	1.3	-
Jeremy Ruckert	1.2	-	-	-	-	-	-	1.2	-
Josh Oliver	1.2	-	-	-	-	-	-	1.2	-
Josh Whyle	1.1	-	-	-	-	-	-	1.1	-
Luke Schoonmaker	1.1	-	-	-	-	-	-	1.1	-
Teagan Quitoriano	1.1	-	-	-	-	-	-	1.1	-
Quintin Morris	1.1	-	-	-	-	-	-	1.1	-
Mycole Pruitt	1.1	-	-	-	-	-	-	1.1	-
Ben Sims	1.1	-	-	-	-	-	-	1.1	-
Elijah Higgins	1.0	-	-	-	-	-	-	1.0	-
Foster Moreau	1.0	-	-	-	-	-	-	1.0	-
