EV	EV Book	Imp	Player	Prop	O/U	FD	DK	MGM	BV	CZ	Kambi/BR	PN	bet365	ESPN	Circa
88.0	520 FD	16%	Shohei Ohtani	sb	o 49.5	'+520	'+180	-	-	-	200	-	-	-	-
55.4	680 FD	13%	Jazz Chisholm	sb	o 49.5	'+680	'+290	-	-	-	325	-	-	-	-
50.7	680 FD	13%	Bobby Witt	sb	o 49.5	'+680	'+310	-	-	-	325	-	-	-	-
47.6	300 BV	25%	Gerrit Cole	k	o 199.5	-	'+140	-	'+300	-	150	-	-	-	-
44.7	360 FD	22%	Corbin Carroll	sb	o 49.5	'+360	'+170	-	-	-	175	-	-	'+200	-
37.8	340 FD	23%	Kevin Gausman	k	o 199.5	'+340	'+180	-	-	-	185	-	-	-	-
28.0	280 FD	26%	Carlos Rodon	k	o 199.5	'+280	'+155	-	-	-	175	-	-	-	-
26.4	180 ESPN	36%	Julio Rodriguez	hr	o 29.5	'+128	-115	-	-	-	-	-	-	'+180	-
24.5	480 FD	17%	Victor Robles	sb	o 49.5	'+480	'+270	-	-	-	300	-	-	-	-
23.7	154 FD	39%	Blake Snell	k	o 199.5	'+154	-120	-	'+135	-	100	-	-110/-110	-	-
22.5	350 BV	22%	Corbin Burnes	k	o 199.5	'+330	'+185	-	'+350	-	175	-	-	-	-
19.6	285 FD	26%	Jackson Chourio	hr	o 29.5	'+285	'+135	-	-	-	-	-	-	'+260	-
18.1	225 ESPN	31%	Junior Caminero	hr	o 29.5	'+176	'+125	-	-	-	-	-	-	'+225	-
17.2	240 ESPN	29%	Lawrence Butler	hr	o 29.5	'+230	'+115	-	-	-	-	-	-	'+240	-
16.1	150 FD	40%	Shohei Ohtani	sb	o 39.5	'+150	-120	-	-	-	-	-	-	'+120	-
15.0	360 FD	22%	Brice Turang	sb	o 49.5	'+360	'+230	-	-	-	250	-	-	-	-
13.3	186 FD	35%	Victor Robles	sb	o 39.5	'+186	'+120	-	-	-	-	-	-	'+140	-
12.3	250 BV	29%	Yusei Kikuchi	k	o 199.5	'+190	'+165	-	'+250	-	175	-	-	-	-
12.3	-102 FD	50%	Tarik Skubal	k	o 199.5	-102	-	-	-135	-	-175	-	-	-	-
