NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Ben Lively	+0	SP	R	-	0	CLE	v	BOS	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	10.2 IP 13 K, 4 H, 2 BB	Houck	R		'+320
Tanner Houck	+0	SP	R	-	.218	BOS	@	CLE	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	24.1 IP 23 K, 10 H, 4 BB	Lively	R		'+310
Andrew Abbott	+0	SP	L	-	.209	CIN	v	PHI	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	5.1 IP 4 K, 0 H, 0 BB	Sanchez	L		'+380
Cristopher Sanchez	+0	SP	L	-	.250	PHI	@	CIN	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	11.0 IP 15 K, 6 H, 0 BB	Abbott	L		'+260
Bailey Falter	+0	SP	L	-	.189	PIT	v	MIL	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	7.2 IP 5 K, 7 H, 1 BB	Myers	R		'+350
James Paxton	+0	SP	L	-	.185	LAD	@	WSH	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	6.0 IP 3 K, 5 H, 1 BB	Corbin	L		'+370
Patrick Corbin	+0	SP	L	-	.379	WSH	v	LAD	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	11.1 IP 7 K, 7 H, 4 BB	Paxton	L		'+330
Kenta Maeda	+0	SP	R	-	.292	DET	@	TB	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	7.0 IP 5 K, 6 H, 1 BB	Pepiot	R		'+475
Ryan Pepiot	+0	SP	R	-	.190	TB	v	DET	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	6.0 IP 4 K, 5 H, 1 BB	Maeda	R		'+260
Marcus Stroman	+0	SP	R	-	.210	NYY	v	OAK	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	6.0 IP 5 K, 2 H, 2 BB	Blackburn	R		'+285
Paul Blackburn	+0	SP	R	-	.191	OAK	@	NYY	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	5.1 IP 5 K, 4 H, 1 BB	Stroman	R		'+390
Max Fried	+0	SP	L	-	.329	ATL	v	MIA	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	64.2 IP 65 K, 69 H, 17 BB	Rogers	L		'+290
Trevor Rogers	+0	SP	L	-	.282	MIA	@	ATL	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	36.1 IP 40 K, 34 H, 13 BB	Fried	L		'+320
Erick Fedde	+0	SP	R	-	.228	CHW	@	MIN	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%		Lopez	R		'+340
Pablo Lopez	+0	SP	R	-	.214	MIN	v	CHW	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	19.2 IP 26 K, 17 H, 2 BB	Fedde	R		'+390
Kevin Gausman	+0	SP	R	-	.328	TOR	@	KC	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	14.0 IP 17 K, 6 H, 3 BB	Wacha	R		'+320
Michael Wacha	+0	SP	R	-	.221	KC	v	TOR	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	32.0 IP 27 K, 33 H, 9 BB	Gausman	R		'+230
Jp France	+0	SP	R	-	.295	HOU	@	CHC	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	3.2 IP 2 K, 9 H, 2 BB	Wicks	L		'+360
Jordan Wicks	+0	SP	L	-	.284	CHC	v	HOU	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%		France	R		'+295
Steven Matz	+0	SP	L	-	.304	STL	v	ARI	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	10.2 IP 8 K, 5 H, 1 BB	Henry	L		'+450
Dane Dunning	+0	SP	R	-	.188	TEX	v	SEA	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	14.2 IP 11 K, 14 H, 4 BB	Gilbert	R		'+330
Logan Gilbert	+0	SP	R	-	.177	SEA	@	TEX	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	17.4 IP 17 K, 11 H, 5 BB	Dunning	R		'+310
Michael King	+0	SP	R	-	.182	SD	@	COL	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	2.0 IP 4 K, 2 H, 1 BB	Feltner	R		'+340
Ryan Feltner	+0	SP	R	-	.279	COL	v	SD	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	5.0 IP 5 K, 2 H, 2 BB	King	R		'+550
Grayson Rodriguez	+0	SP	R	-	.225	BAL	@	LAA	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	15.1 IP 19 K, 16 H, 5 BB	Canning	R		'+330
Griffin Canning	+0	SP	R	-	.316	LAA	v	BAL	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	10.1 IP 6 K, 9 H, 2 BB	Rodriguez	R		'+300
Logan Webb	+0	SP	R	-	.259	SF	v	NYM	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%	7.0 IP 8 K, 5 H, 1 BB	Severino	R		'+450
Luis Severino	+0	SP	R	-	.244	NYM	@	SF	-	-	x+_strikeouts	0		0.0	0%	0%	0%	0%		Webb	R		'+320
